,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_GPT,word_count,similarity
5017,syllabus,'A summary of topics which will be discussed in a course.','a list of the topics books etc. that students should study in a particular subject at school or college',11,19,A list of things students should learn about in a certain subject at school,14,0.83460474
5018,gunfighter,'(Old West) A person able to shoot quickly and accurately with a gun.','a person who uses guns in a fight',13,8,A person who uses guns to fight,7,0.84836566
5019,gunslinger,'(Old West) A person able to shoot quickly and accurately with a gun.','a person who was paid to kill people',13,8,A person paid to hurt others,6,0.7837604
5020,gunman,'(Old West) A person able to shoot quickly and accurately with a gun.','a man who uses a gun to steal from or kill people',13,12,A man who uses a gun to take things from or hurt people,13,0.8944503
5021,markswoman,'A woman trained to shoot precisely with a certain type of rifle.','a woman who shows skill in accurate shooting',12,8,A woman who is really good at shooting,8,0.77573895
5022,nursemaid,A woman who watches over someone else's kids usually as a full-time job.,'(in the past) a woman or girl whose job was to take care of babies or small children in their own homes',13,22,A long time ago a woman or girl would look after babies or little children in their homes,18,0.85397065
5023,babysitter,'A person who cares for the children of others occasionally and for a short period of time.','a person who takes care of babies or children while their parents are away from home and is usually paid to do this',17,23,A person who looks after little kids when mother and father go away and gets money for doing it,19,0.85284024
5024,babysitting,'The practice of temporarily caring for children of another person.','the job or activity of taking care of babies or children for a short time while their parents are out',10,20,Looking after little kids for a short time when their parents are away,13,0.86147565
5025,honeybee,'A stinging social domesticated insect (Apis mellifera) kept by humans for the creation of beeswax and honey.','a bee that makes honey',17,5,a bee that makes sweet stuff,6,0.83793926
5026,biomolecule,'Any molecule that is produced by a living organism.','a chemical compound found in animals and plants that is necessary for a healthy body and growth',9,17,A thing in animals and plants that is good for a healthy body and growing,15,0.82677126
5027,taiga,'A biome characterized by coniferous forests consisting mostly of pines spruces and larches.','forest that grows in wet ground in far northern regions of the earth',13,13,A forest with trees that like wet ground in the far north,12,0.79413515
5028,hallucinogen,'A general group of pharmacological agents that can cause subjective changes in perception thought emotion and consciousness.','a drug such as LSD that affects people’s minds and makes them see and hear things that are not really there',17,21,A drug like LSD makes people see and hear things that are not there,14,0.9113482
5029,protectionism,'The economic policy of restraining trade between states through government regulations designed to promote goods and services produced domestically with respect to imports.','the principle or practice of protecting a country’s own industry by taxing foreign goods',23,14,The idea of helping a country by putting taxes on things from other places,14,0.7325185
5030,ransomware,'A class of malware which restricts access to the computer system that it infects and demands a ransom paid to the creator of the malware in order for the restriction to be removed.','a type of software that is designed to block access to a computer system until a sum of money is paid',33,21,Its a kind of computer program that locks your computer until you pay money,14,0.82179475
5031,meteorological,'Of or pertaining to meteorology.',connected with the earth's atmosphere and its changes especially in the way they affect the weather,5,16,Its about how Earths air and changes make the weather,10,0.82430965
5032,cyberwarfare,'Politically motivated hacking to conduct sabotage and espionage.','the use of computer technology to attack the information systems of a state or organization preventing them from carrying out important activities',8,22,Using computers to stop a place or group from doing important things,12,0.7898452
5033,configure,To set up or arrange something in such a way that it is ready for operation for a particular purpose or to someone's particular liking.,'to arrange something in a particular way especially computer equipment; to make equipment or software work in the way that the user prefers',25,23,To set up something like a computer so it works how you want,13,0.7963931
5034,reimburse,To compensate with payment; especially to repay money spent on one's behalf.,'to pay back money to somebody which they have spent or lost',12,12,to give money back to someone they used or lost,10,0.7969197
5035,relocate,To change one's domicile or place of business.,'to move or to move somebody/something to a new place to work or operate',8,14,To take someone or something to a new place to work or do things,14,0.826584
5036,cursor,'A moving icon or other representation of the position of the pointing device.','a small mark on a computer screen that can be moved and that shows the position on the screen where for example text will be added',13,26,A little dot on a computer screen that you can move to show where new words will go,18,0.8637228
5037,manipulator,'A device which can be used to move arrange or operate something.','a person who shows skill at influencing people or situations in order to get what they want',12,17,A person who is good at making people or things do what they want,14,0.8511852
